Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Regression,Chrome 68.0.3440.106,,2018-09-04 15:39:39,2018-09-04 15:40:00,"21,518s",FAILED
,,,,,,
Test Cases/TC/TC_Home,Chrome 68.0.3440.106,,2018-09-04 15:39:39,2018-09-04 15:39:48,"9,035s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 15:39:39,2018-09-04 15:39:44,"5,080s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 15:39:44,2018-09-04 15:39:45,"1,015s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 15:39:45,2018-09-04 15:39:47,"1,219s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 15:39:47,2018-09-04 15:39:47,"0,354s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 15:39:47,2018-09-04 15:39:47,"0,301s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 15:39:47,2018-09-04 15:39:47,"0,296s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 15:39:47,2018-09-04 15:39:48,"0,262s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 15:39:48,2018-09-04 15:39:48,"0,217s",PASSED
,,,,,,
Test Cases/TC/TC_Login,Chrome 68.0.3440.106,,2018-09-04 15:39:48,2018-09-04 15:39:54,"5,604s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 15:39:48,2018-09-04 15:39:53,"4,966s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 15:39:53,2018-09-04 15:39:54,"0,448s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 15:39:54,2018-09-04 15:39:54,"0,062s",PASSED
,,,,,,
Test Cases/TC/TC_NewUser,Chrome 68.0.3440.106,,2018-09-04 15:39:54,2018-09-04 15:39:59,"5,762s",FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 15:39:54,2018-09-04 15:39:59,"4,907s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 15:39:59,2018-09-04 15:39:59,"0,569s",FAILED
