Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Regression,,,2018-09-04 17:15:23,2018-09-04 17:15:31,"7,790s",FAILED
,,,,,,
Test Cases/Web/TC/TC_Home,,,2018-09-04 17:15:24,2018-09-04 17:15:27,"3,488s",FAILED
callTestCase,,,2018-09-04 17:15:24,2018-09-04 17:15:27,"3,139s",FAILED
,,,,,,
Test Cases/Web/TC/TC_Login,,,2018-09-04 17:15:27,2018-09-04 17:15:29,"1,937s",FAILED
callTestCase,,,2018-09-04 17:15:27,2018-09-04 17:15:29,"1,792s",FAILED
,,,,,,
Test Cases/Web/TC/TC_NewUser,,,2018-09-04 17:15:29,2018-09-04 17:15:31,"2,000s",FAILED
callTestCase,,,2018-09-04 17:15:29,2018-09-04 17:15:31,"1,885s",FAILED
